taxid;name;rank
1;root;root
10239;Viruses;superkingdom
131567;cellular organisms;species
2559587;Riboviria;species
2731342;Monodnaviria;species
2840056;Naldaviricetes;class
2732004;Varidnaviria;species
2731360;Heunggongvirae;kingdom
2841637;Tokiviricetes;class
2;Bacteria;superkingdom
2157;Archaea;superkingdom
2732396;Orthornavirae;kingdom
2732514;Revtraviricetes;class
2732092;Shotokuvirae;kingdom
2732094;Tubulavirales;order
2840070;Lefavirales;order
2732005;Bamfordvirae;kingdom
28883;Caudovirales;order
548681;Herpesvirales;order
1511857;Ligamenvirales;order
1783272;Terrabacteria group;species
1224;Proteobacteria;phylum
1783257;PVC group;species
40117;Nitrospirae;phylum
57723;Acidobacteria;phylum
74152;Elusimicrobia;phylum
203692;Spirochaetia;class
188708;Thermotogae;class
187857;Aquificae;class
203491;Fusobacteriales;order
68336;Bacteroidetes/Chlorobi group;species
28890;Euryarchaeota;phylum
1783275;TACK group;species
2283796;Candidatus Thermoplasmatota;phylum
2732408;Pisuviricota;phylum
2732405;Duplornaviricota;phylum
2732406;Kitrinoviricota;phylum
2497569;Negarnaviricota;phylum
2732407;Lenarviricota;phylum
2169561;Ortervirales;order
2732416;Cressdnaviricota;phylum
2732415;Cossaviricota;phylum
2732007;Nucleocytoviricota;phylum
2732008;Preplasmiviricota;phylum
201174;Actinobacteria;phylum
1239;Firmicutes;phylum
544448;Tenericutes;phylum
200795;Chloroflexi;phylum
188787;Deinococci;class
1117;Cyanobacteria;phylum
1236;Gammaproteobacteria;class
28211;Alphaproteobacteria;class
68525;delta/epsilon subdivisions;species
28216;Betaproteobacteria;class
1553900;Oligoflexia;class
203682;Planctomycetes;phylum
74201;Verrucomicrobia;phylum
204429;Chlamydiia;class
204432;Acidobacteriia;class
136;Spirochaetales;order
2419;Thermotogales;order
32069;Aquificales;order
976;Bacteroidetes;phylum
795748;Ignavibacteriales;order
2283794;Methanomada group;species
2290931;Stenosarchaea group;species
651137;Thaumarchaeota;phylum
183924;Thermoprotei;class
183967;Thermoplasmata;class
2732506;Pisoniviricetes;class
2732507;Stelpaviricetes;class
2732549;Durnavirales;order
2732540;Ghabrivirales;order
2732461;Alsuviricetes;class
2732548;Tolivirales;order
2732546;Nodamuvirales;order
2497571;Polyploviricotina;species
2497570;Haploviricotina;species
2732423;Arfiviricetes;class
2732539;Geplafuvirales;order
2732421;Papovaviricetes;class
2732523;Megaviricetes;class
2732525;Pokkesviricetes;class
2732529;Tectiliviricetes;class
1760;Actinomycetia;class
84998;Coriobacteriia;class
908620;Nitriliruptoria;class
84993;Acidimicrobiales;order
84996;Rubrobacterales;order
91061;Bacilli;class
186801;Clostridia;class
1737404;Tissierellia;class
909932;Negativicutes;class
526525;Erysipelotrichales;order
31969;Mollicutes;class
301297;Dehalococcoidia;class
189775;Thermomicrobia;class
32064;Chloroflexales;order
1890424;Synechococcales;order
1161;Nostocales;order
1301283;Oscillatoriophycideae;species
52604;Pleurocapsales;order
91347;Enterobacterales;order
72274;Pseudomonadales;order
135622;Alteromonadales;order
135614;Xanthomonadales;order
118969;Legionellales;order
72273;Thiotrichales;order
135619;Oceanospirillales;order
1706369;Cellvibrionales;order
135613;Chromatiales;order
135624;Aeromonadales;order
1775403;Nevskiales;order
356;Hyphomicrobiales;order
204441;Rhodospirillales;order
204455;Rhodobacterales;order
204457;Sphingomonadales;order
766;Rickettsiales;order
1921002;Holosporales;order
54526;Pelagibacterales;order
28221;Deltaproteobacteria;class
29547;Epsilonproteobacteria;class
206351;Neisseriales;order
80840;Burkholderiales;order
206389;Rhodocyclales;order
32003;Nitrosomonadales;order
2024979;Bacteriovoracales;order
203683;Planctomycetia;class
666505;Phycisphaerae;class
414999;Opitutae;class
48461;Verrucomicrobiales;order
1963360;Parachlamydiales;order
200643;Bacteroidia;class
200644;Flavobacteriales;order
1936988;Saprospirales;order
768507;Cytophagales;order
2182;Methanococcales;order
2158;Methanobacteriales;order
183963;Halobacteria;class
224756;Methanomicrobia;class
1643678;Nitrososphaeria;class
114380;Desulfurococcales;order
2266;Thermoproteales;order
871006;Acidilobales;order
2301;Thermoplasmatales;order
1235850;Methanomassiliicoccales;order
2732553;Sobelivirales;order
464095;Picornavirales;order
76804;Nidovirales;order
675063;Tymovirales;order
2732544;Martellivirales;order
2732543;Hepelivirales;order
1980410;Bunyavirales;order
2499411;Articulavirales;order
2497574;Monjiviricetes;class
2732555;Pimascovirales;order
85007;Corynebacteriales;order
85006;Micrococcales;order
85009;Propionibacteriales;order
85012;Streptosporangiales;order
84999;Coriobacteriales;order
1385;Bacillales;order
186826;Lactobacillales;order
186802;Eubacteriales;order
53433;Halanaerobiales;order
68295;Thermoanaerobacterales;order
2770089;Thermosediminibacterales;order
1737405;Tissierellales;order
909929;Selenomonadales;order
186328;Entomoplasmatales;order
1118;Chroococcales;order
1150;Oscillatoriales;order
29;Myxococcales;order
213118;Desulfobacterales;order
213115;Desulfovibrionales;order
69541;Desulfuromonadales;order
213462;Syntrophobacterales;order
213849;Campylobacterales;order
235899;Nautiliales;order
2691354;Pirellulales;order
2483366;Sedimentisphaerales;order
171549;Bacteroidales;order
1970189;Marinilabiliales;order
1644055;Haloferacales;order
2235;Halobacteriales;order
94695;Methanosarcinales;order
2191;Methanomicrobiales;order
11157;Mononegavirales;order
2499407;Jingchuvirales;order
